"","A1","A2","A3","A4","A5","A6","A7","A8","A9","A10","B1","B2","B3","B4","C1","C2","C3","C4","C5","D1","D2","D3","D4","D5","D6","E","F1","F2","F3","F4","F5","F6","F7"
"1","Male","Kajiado","Researcher and Data Analyst","No","No","Yes","From all industries","Yes","Yes","Step up their support",4,3,4,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","Undecided","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees"
"2","Male","Kenya","Customer support officer for a fintech company","Yes","Yes","Yes","Food products","Yes","No","Step up their support",3,2,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"3","Male","Bomet","Teacher","Yes","No","Yes","From all industries","No","Yes","Step up their support",5,5,5,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees"
"4","Female","Nairobi","Sales Rep.","Yes","No","Yes","From all industries","Yes","No","Step up their support",3,3,3,4,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","SomewhatDisagrees","StronglyAgrees","Undecided","StronglyAgrees","SomewhatAgrees"
"5","Male","NAIROBI","Educational counselor","No","Yes","No","From all industries","No","No","Step up their support",2,2,2,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","StronglyAgrees"
"6","Male","Kajiado","Civil engineering","Yes","Yes","No","Food products","Yes","No","Step up their support",2,2,3,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"7","Female","Kenya","Highschool Teacher","Yes","No","Yes","Food products","Yes","Yes","Step up their support",3,2,4,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","StronglyDisagrees","StronglyDisagrees","SomewhatDisagrees","StronglyAgrees"
"8","Male","Nairobi","Football Coach","No","Yes","Yes","Food products","No","Yes","Step up their support",1,1,1,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees"
"9","Male","Kenya","Project Manager","No","No","Yes","From all industries","Yes","No","Step up their support",3,3,4,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"10","Female","Nairobi","Businesswoman","No","Yes","Yes","Food products","Yes","Yes","Step up their support",3,1,4,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees"
"11","Female","Kenya","Student","Yes","No","Yes","From all industries","No","Yes","Step up their support",4,2,4,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Radio","Undecided","SomewhatDisagrees","SomewhatDisagrees","StronglyAgrees","Undecided","StronglyAgrees","Undecided"
"12","Male","Kajiado","Land economist","Yes","No","Yes","From all industries","Yes","No","Step up their support",3,4,3,5,"Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","SomewhatDisagrees","SomewhatDisagrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","Undecided","SomewhatAgrees"
"13","Female","KIsumu","Social worker","Yes","Yes","Yes","From all industries","No","Yes","Step up their support",4,4,3,4,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees"
"14","Female","KISUMU","sociologist","Yes","Yes","Yes","Food products","Yes","No","Step up their support",2,4,3,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees"
"15","Male","Kitui","Information Systems Manager","Yes","Yes","Yes","From all industries","Yes","No","Step up their support",3,3,4,2,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Emails","StronglyDisagrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees"
"16","Female","Nairobi","Administration","Yes","Yes","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","All of the above","SomewhatAgrees","StronglyDisagrees","Undecided","StronglyDisagrees","StronglyAgrees","StronglyDisagrees","SomewhatAgrees"
"17","Female","Nairobi","Student","Yes","No","Yes","From all industries","Yes","No","Step up their support",2,4,2,4,"Disagree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","Undecided","StronglyAgrees","StronglyAgrees"
"18","Female","Nairobi","Journalist","No","No","Yes","Pharmaceutical","Yes","No","Step up their support",1,2,1,2,"Disagree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","StronglyAgrees","Undecided","SomewhatAgrees","Undecided","StronglyAgrees","StronglyDisagrees"
"19","Male","Nairobi","Sales","Yes","Yes","Yes","Retail","Yes","Yes","Step up their support",2,2,2,4,"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Facebook","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","StronglyDisagrees","SomewhatDisagrees","StronglyDisagrees","Undecided"
"20","Female","Tanzania","Student","Yes","Yes","No","Food products","Yes","No","Step up their support",1,1,1,2,"Agree","Agree","Disagree","Agree","Disagree","Agree","Disagree","Disagree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","Undecided","StronglyAgrees","SomewhatAgrees"
"21","Female","Nandi","Student","No","No","No","From all industries","Yes","Yes","Step up their support",2,1,2,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees"
"22","Male","Kenya","Lawyer","Yes","Yes","No","Food products","Yes","No","Already doing enough",5,5,1,4,"Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","StronglyDisagrees","Undecided","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","StronglyAgrees"
"23","Male","Mombasa","Humanitarian","Yes","Yes","Yes","Food products","Yes","No","Step up their support",3,3,3,2,"Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","StronglyDisagrees","StronglyAgrees","StronglyDisagrees","SomewhatAgrees","StronglyDisagrees"
"24","Female","Embu","Teacher","Yes","No","Yes","Food products","Yes","Yes","Step up their support",5,3,5,3,"Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees"
"25","Female","Trans nzoia","Student","Yes","No","Yes","Food products","Yes","Yes","Step up their support",2,4,4,5,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"26","Female","Nairobi","Student","Yes","Yes","Yes","Retail","Yes","No","Step up their support",1,3,3,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Agree","Agree","All of the above","StronglyAgrees","Undecided","StronglyDisagrees","SomewhatAgrees","Undecided","StronglyAgrees","StronglyAgrees"
"27","Female","NAIROBI","Business woman","Yes","Yes","Yes","From all industries","No","No","Step up their support",3,4,2,4,"Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"28","Male","Kiambu","Procurement assistant","Yes","No","Yes","Retail","No","No","Step up their support",3,1,1,3,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"29","Male","Nairobi","Health worker","Yes","Yes","Yes","Pharmaceutical","No","No","Step up their support",3,1,5,5,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"30","Female","Kenya","Marketing","Yes","No","Yes","Pharmaceutical","Yes","Yes","Step up their support",3,2,5,5,"Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"31","Female","Kajiado","Bussness","No","No","Yes","Food products","Yes","Yes","Step up their support",4,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"32","Female","Kajiado","Bussness","No","No","Yes","Food products","Yes","Yes","Step up their support",4,3,3,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"33","Male","Nairobi","Student","Yes","No","Yes","From all industries","Yes","No","Step up their support",3,2,5,4,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"34","Male","Kajiado","Caretaker","No","No","Yes","Food products","Yes","Yes","Already doing enough",2,2,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"35","Male","Kenya","Student","No","Yes","Yes","Food products","Yes","Yes","Step up their support",3,4,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"36","Male","Kenya","ICT","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"37","Male","Nairobi","Technian","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","All of the above","SomewhatAgrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","StronglyDisagrees"
"38","Male","Nairobi","Technian","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","StronglyDisagrees","StronglyDisagrees","StronglyAgrees","StronglyAgrees","StronglyAgrees","StronglyDisagrees"
"39","Male","Nairobi","Technian","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","SomewhatDisagrees","SomewhatDisagrees","Undecided","StronglyAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees"
"40","Male","Nairobi","Technian","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","Agree","Agree","All of the above","SomewhatDisagrees","SomewhatDisagrees","Undecided","StronglyAgrees","Undecided","SomewhatAgrees","SomewhatAgrees"
"41","Male","Nairobi","Technian","No","No","Yes","From all industries","Yes","Yes","Step up their support",3,2,4,5,"Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","SomewhatAgrees","StronglyDisagrees","Undecided","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"42","Female","Nairobi","Sales and marketing","Yes","No","No","From all industries","Yes","No","Already doing enough",1,1,3,2,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","StronglyAgrees","Undecided","SomewhatDisagrees","SomewhatAgrees","SomewhatDisagrees","Undecided","Undecided"
"43","Male","Kajiado","Teacher","Yes","No","Yes","Food products","Yes","Yes","Step up their support",2,3,2,2,"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Disagree","Agree","Agree","TV","SomewhatAgrees","Undecided","StronglyDisagrees","SomewhatAgrees","StronglyAgrees","StronglyAgrees","StronglyAgrees"
"44","Male","Kajiado","Teacher","Yes","Yes","Yes","Food products","Yes","No","Step up their support",2,3,2,2,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","All of the above","SomewhatAgrees","StronglyAgrees","StronglyDisagrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees"
"45","Female","Kiambu","Gym instructor","Yes","Yes","Yes","From all industries","Yes","Yes","Step up their support",3,2,3,1,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Disagree","Disagree","All of the above","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","SomewhatAgrees","SomewhatDisagrees","SomewhatDisagrees"
"46","Male","Kajiado","Student","Yes","Yes","Yes","From all industries","Yes","No","Already doing enough",3,3,4,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","SomewhatDisagrees","Undecided","SomewhatAgrees","StronglyAgrees","SomewhatDisagrees","StronglyAgrees","SomewhatDisagrees"
"47","Male","Nairobi","Civil Engineer","Yes","No","Yes","Food products","Yes","No","Step up their support",4,3,4,4,"Agree","Agree","Agree","Agree","Disagree","Agree","Disagree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","StronglyAgrees","SomewhatAgrees","StronglyDisagrees","StronglyDisagrees"
"48","Female","Kenya","Banker","No","Yes","Yes","Food products","Yes","Yes","Step up their support",3,4,3,5,"Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"49","Female","Kenya","Fashion designer","Yes","Yes","Yes","Food products","Yes","Yes","Step up their support",2,2,1,3,"Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"50","Female","Kenya","Fashion designer","Yes","No","Yes","Pharmaceutical","Yes","No","Step up their support",1,2,1,2,"Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"51","Male","Nairobi","Engineer","Yes","No","Yes","Pharmaceutical","No","Yes","Step up their support",2,3,4,3,"Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","Undecided","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"52","Male","Kakamega","Clinical officer","Yes","Yes","No","Food products","Yes","No","Step up their support",1,3,5,3,"Agree","Agree","Disagree","Disagree","Agree","Agree","Agree","Agree","Agree","Agree","Agree","TV","StronglyAgrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","SomewhatAgrees","SomewhatAgrees","StronglyAgrees"
"53","Male","Kenya","Freelancer","Yes","No","No","From all industries","Yes","No","Step up their support",1,1,1,3,"Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","TV","SomewhatAgrees","Undecided","StronglyDisagrees","SomewhatAgrees","StronglyAgrees","SomewhatAgrees","StronglyAgrees"
"54","Male","Kenya","Student","No","Yes","Yes","Food products","No","Yes","Step up their support",1,5,1,1,"Agree","Agree","Disagree","Agree","Agree","Agree","Agree","Agree","Disagree","Agree","Agree","All of the above","Undecided","SomewhatAgrees","StronglyDisagrees","SomewhatDisagrees","StronglyDisagrees","Undecided","StronglyAgrees"
